NOC,Events,Medals,Golds,LNM,CV,CONTIN,Focus
BUL,675,79,20,4.382026634673881,0.3384788047050626,1.0,0.5316455696202531
JAM,305,71,23,4.276666119016055,0.10724870317243362,1.0,1.0
ROC,246,71,20,4.276666119016055,0.0,0.1111111111111111,0.3380281690140845
CZE,840,70,22,4.2626798770413155,0.06317380553057904,0.5,0.5714285714285714
TUR,650,69,18,4.248495242049359,0.2362227411405444,1.0,0.6666666666666666
GRE,854,63,22,4.1588830833596715,0.5273872611189014,1.0,0.5396825396825397
NOR,502,63,26,4.1588830833596715,0.16008303269214694,1.0,0.49206349206349204
SUI,788,61,18,4.127134385045092,0.11473372641924574,1.0,0.4098360655737705
AZE,340,58,9,4.07753744390572,0.29128043301505757,0.5,0.7931034482758621
IRI,345,57,20,4.060443010546419,0.24533453877679795,1.0,0.9473684210526315
ETH,162,51,19,3.9512437185814275,0.1870278692289274,1.0,1.0
UZB,539,51,20,3.9512437185814275,0.08810174449412814,0.5,0.8431372549019608
CRO,459,48,16,3.8918202981106265,0.21499195037122257,1.0,0.4166666666666667
PRK,267,48,14,3.8918202981106265,0.34127640053536207,0.5,0.6458333333333334
GEO,294,47,13,3.871201010907891,0.09499483022972069,0.5,0.9361702127659575
BEL,626,44,12,3.8066624897703196,0.25755039725604034,1.0,0.5909090909090909
RSA,676,44,11,3.8066624897703196,0.10566314454691463,1.0,0.8409090909090909
TPE,440,40,7,3.713572066704308,0.31162066365459296,1.0,0.575
INA,243,37,10,3.6375861597263857,0.2475300945155978,1.0,1.0
MEX,683,36,4,3.6109179126442243,0.13516058451354931,1.0,0.6111111111111112
THA,396,35,11,3.58351893845611,0.11185472015328334,1.0,0.9714285714285714
ARG,696,34,9,3.5553480614894135,0.20743464509510284,1.0,0.5882352941176471
SVK,428,33,10,3.5263605246161616,0.21917830653380513,0.5,0.7878787878787878
COL,552,31,5,3.4657359027997265,0.28881152729535703,1.0,0.6451612903225806
AUT,599,31,7,3.4657359027997265,0.10975278740496561,1.0,0.4838709677419355
SLO,464,31,10,3.4657359027997265,0.23133745574471928,1.0,0.5161290322580645
LTU,428,30,6,3.4339872044851463,0.1395233516526506,1.0,0.5
SRB,261,29,9,3.4011973816621555,0.09259039060225725,0.2,0.5172413793103449
IND,471,27,2,3.332204510175204,0.3041359588869636,1.0,0.6296296296296297
IRL,510,26,10,3.295836866004329,0.2604228661315136,1.0,0.8461538461538461
FIN,538,25,5,3.258096538021482,0.24058967189805905,1.0,0.52
ARM,205,24,2,3.2188758248682006,0.2624644107768703,0.5,0.9166666666666666
NGR,324,22,3,3.1354942159291497,0.09799078929868854,1.0,0.8636363636363636
MAR,310,20,5,3.044522437723423,0.14747263807306402,1.0,1.0
EGY,607,20,3,3.044522437723423,0.42216438296526904,1.0,0.5
ISR,428,20,4,3.044522437723423,0.2937427928805912,1.0,0.8
MGL,274,20,2,3.044522437723423,0.29586814889797436,1.0,0.9
POR,608,19,4,2.995732273553991,0.11595103113167479,1.0,0.7368421052631579
ALG,372,18,7,2.9444389791664403,0.23759548165574573,1.0,0.9444444444444444
LAT,318,18,4,2.9444389791664403,0.23603766043767554,1.0,0.5
EST,293,15,4,2.772588722239781,0.17139767275753884,1.0,0.6666666666666666
MAS,247,15,0,2.772588722239781,0.25999343089882304,1.0,0.9333333333333333
BAH,153,14,7,2.70805020110221,0.17970885078258197,1.0,1.0
DOM,188,14,4,2.70805020110221,0.2786340607172084,1.0,0.7857142857142857
TUN,313,13,4,2.6390573296152584,0.3481695265386652,1.0,0.7692307692307693
HKG,313,13,4,2.6390573296152584,0.1520176006820488,1.0,0.6923076923076923
KGZ,218,12,0,2.5649493574615367,0.528857506103939,0.5,1.0
TTO,164,12,2,2.5649493574615367,0.3080324619589046,1.0,1.0
MDA,225,12,0,2.5649493574615367,0.23747644457586747,0.5,0.5
PHI,188,11,3,2.4849066497880004,0.3106127940565198,1.0,1.0
VEN,450,11,2,2.4849066497880004,0.43009042976771494,1.0,0.6363636363636364
ECU,220,10,4,2.3978952727983707,0.3943296435326604,1.0,0.9
QAT,121,9,2,2.302585092994046,0.2164595182431206,1.0,0.8888888888888888
SCG,126,9,2,2.302585092994046,0.13608276348795434,0.14285714285714285,0.8888888888888888
UGA,116,8,4,2.1972245773362196,0.2890181830041415,1.0,1.0
PUR,324,8,2,2.1972245773362196,0.35038681348934264,1.0,0.875
BRN,99,8,3,2.1972245773362196,0.4791329788133908,1.0,1.0
ZIM,114,7,2,2.0794415416798357,0.4291975376394761,1.0,1.0
TJK,84,7,1,2.0794415416798357,0.392676726249301,0.5,0.8571428571428571
TCH,126,7,4,2.0794415416798357,0.0,0.1111111111111111,0.8571428571428571
CHI,258,7,3,2.0794415416798357,0.30008111396660325,1.0,0.8571428571428571
SGP,221,5,1,1.791759469228055,0.14759734326063428,1.0,1.0
IOA,73,5,1,1.791759469228055,1.2291419840232949,0.16666666666666666,1.0
KOS,28,5,3,1.791759469228055,0.13363062095621217,0.14285714285714285,1.0
AIN,32,5,1,1.791759469228055,0.0,0.1111111111111111,0.8
GRN,48,5,1,1.791759469228055,0.3535533905932738,1.0,1.0
NAM,86,5,0,1.791759469228055,0.30852323631213024,1.0,1.0
VIE,140,4,1,1.6094379124341003,0.4485805276602166,1.0,1.0
